,Track ID,Track Name,Track Popularity,Artist Name,Artist Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2529,3orEOtd8CPL8GFlpRpKuoE,Faith,68,The Weeknd,99,0.375,0.605,1,-7.268,0,0.0729,0.612,0.0448,0.147,0.128,175.946
2530,3BIIJgBJJ7NhhCv4MI6n7w,Alien Boy,65,Oliver Tree,83,0.792,0.576,1,-7.046,1,0.132,0.0597,0.00025,0.186,0.52,130.135
2531,7888F1QWPTn4cPbuknNV4T,HIT EM WHERE IT HURTS,62,PawPaw Rod,56,0.779,0.721,6,-6.371,1,0.214,0.122,0.00252,0.0765,0.822,178.046
2532,67jvGGbJmOmVonlyX3mNkV,Caramelo - Remix,71,Ozuna,91,0.755,0.772,3,-4.539,0,0.154,0.0605,9.19e-05,0.223,0.586,168.062
2533,6fmQjRuo7XvRFCK2qex5hQ,Mi Cuarto,69,Jerry Di,60,0.854,0.525,1,-4.426,1,0.214,0.819,0.00025,0.146,0.63,97.054
2534,5v4OkFH0TJ6W1hCFxyn0px,parents,67,YUNGBLUD,73,0.612,0.824,7,-4.758,1,0.0478,0.013,0.00025,0.288,0.586,82.017
2535,2AlYncTpVHKwHb55F9lF6O,Deep End Freestyle,64,Sleepy Hallow,79,0.868,0.479,4,-6.687,0,0.445,0.703,0.00025,0.102,0.776,133.928
2536,7A4WmJcWx6KrVRfQ2CP8e7,7500 OBO,61,Tim McGraw,73,0.528,0.718,7,-6.954,1,0.0337,0.1,0.00025,0.304,0.51,155.759
2537,3PdcxgzpWzAsUGgkmykIFc,Welcome to Chilis,63,Yung Gravy,74,0.839,0.454,10,-9.09,0,0.157,0.359,0.00025,0.0755,0.804,159.987
2538,53PoPAD389bBE4ePYuT95g,El Envidioso,67,Los Dos Carnales,75,0.719,0.577,5,-5.326,1,0.0909,0.416,0.00025,0.0972,0.861,78.77
2539,23XjN1s3DZC8Q9ZwuorYY4,TE DESEO LO MEJOR,71,Bad Bunny,100,0.763,0.597,1,-5.054,1,0.0416,0.158,1.83e-05,0.111,0.194,126.054
2540,4loM16743hROPC6uIJG6wM,MET GALA,63,Gunna,86,0.873,0.577,1,-9.151,1,0.271,0.353,0.00025,0.111,0.956,117.089
2541,57VeLYXrvNxe8Vs18K2M9W,Way Out (feat. Big Sean),64,Jack Harlow,82,0.945,0.582,11,-8.357,0,0.0719,0.114,0.00025,0.103,0.907,108.025
2542,0vn8Vw0faNIgdVdpAw0JaS,"Losing My Mind, Pt.2",60,Baby Smoove,68,0.493,0.586,1,-8.593,1,0.0932,0.125,3.2e-05,0.103,0.395,125.491
2543,36ISlLb12gKuCCVTYXC0gb,Beers And Sunshine,62,Darius Rucker,69,0.57,0.645,5,-5.816,1,0.0304,0.134,0.00025,0.147,0.677,81.084
2544,1lqj3wgPj8gHCdq46hUjvr,I / Me / Myself,64,Will Wood,64,0.48,0.954,11,-5.273,0,0.0584,0.165,5.14e-06,0.807,0.762,172.016
2545,5LJ4ig9cMvjui3li1mrNRl,Punisher,64,Phoebe Bridgers,81,0.32,0.227,1,-12.803,1,0.0448,0.986,0.000353,0.108,0.215,83.912
2546,3uVPLtkmDu8pDkYEAVqbgS,Real Shit (with benny blanco),64,Juice WRLD,92,0.703,0.703,1,-4.672,1,0.133,0.605,0.00025,0.12,0.697,76.017
2547,1Tip6R4swhC7E6hgILBjrE,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),67,Miley Cyrus,93,0.681,0.737,4,-5.246,0,0.0384,0.0291,7.16e-06,0.0856,0.278,109.95
2548,5sdkS8DXx8rXNLxbSos8GS,Weight,62,redveil,64,0.615,0.936,9,-2.303,1,0.189,0.0656,1.17e-05,0.204,0.388,122.994
2549,0QsZ3W21xNvnUnUMbiAY4z,spy?,63,WHOKILLEDXIX,56,0.87,0.565,11,-5.356,0,0.0581,0.0631,0.0579,0.104,0.646,100.041
2550,5Ryu0SlsYjKh78RkJUONFr,Flex Up (feat. Future & Playboi Carti),63,Lil Yachty,81,0.829,0.667,9,-5.366,1,0.166,0.000523,0.000521,0.048,0.545,160.082
2551,1Y3TlYJNhIa7k4YAvFkJAB,One Margarita,62,Luke Bryan,78,0.641,0.842,9,-4.872,1,0.0464,0.0969,0.00025,0.169,0.738,89.997
2552,40iocOzytrqaRn5RbGPDNp,Cherry Flavoured,65,The Neighbourhood,86,0.617,0.574,6,-9.768,1,0.0276,0.23,0.0105,0.0983,0.396,91.769
2553,5v4GgrXPMghOnBBLmveLac,Savage Remix (feat. Beyoncé),64,Megan Thee Stallion,81,0.822,0.743,10,-4.772,0,0.28,0.016,0.00025,0.127,0.636,84.459
